db_id,question,query_toks,query_toks_no_value,sql_string,db_id_id,question_id,query_toks_id,query_toks_no_value_id,sql_string_id
,,=,join,,,,=,join,
,,``,venue,,,,``,lokasi,
,,Parsing,as,,,,Penguraian,as,
,,',t4,,,,',t4,
,,AND,on,,,,AND,on,
,,t3.year,t4,,,,t3.tahun,t4,
,,=,.,,,,=,.,
,,2012,venueid,,,,2012,venueid,
,,AND,=,,,,AND,=,
,,t4.venuename,t3,,,,t4.nama_tempat,t3,
,,=,.,,,,=,.,
,,``,venueid,,,,``,venueid,
,,acl,where,,,,acl,where,
,,',t1,,,,',t1,
,,;,.,,,,;,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
,,,and,,,,,and,
,,,t3,,,,,t3,
,,,.,,,,,.,
,,,year,,,,,year,
,,,=,,,,,=,
,,,value,,,,,value,
,,,and,,,,,and,
,,,t4,,,,,t4,
,,,.,,,,,.,
,,,venuename,,,,,nama_tempat,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,papers on Parsing appeared at acl in 2012,SELECT,select,"""Parsing""",sarjana,makalah tentang Parsing muncul di acl pada tahun 2012,SELECT,select,"""Penguraian"""
,,DISTINCT,distinct,"""acl""",,,DISTINCT,distinct,"""acl"""
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,JOIN,as,,,,JOIN,as,
,,venue,t3,,,,lokasi,t3,
,,AS,on,,,,AS,on,
,,t4,t3,,,,t4,t3,
,,ON,.,,,,ON,.,
,,t4.venueid,paperid,,,,t4.venueid,kertasid,
,,=,=,,,,=,=,
,,t3.venueid,t2,,,,t3.tempatid,t2,
,,WHERE,.,,,,WHERE,.,
,,t1.keyphrasename,paperid,,,,t1.nama_frase_kunci,kertasid,
,,=,join,,,,=,join,
,,``,venue,,,,``,lokasi,
,,Parsing,as,,,,Penguraian,as,
,,',t4,,,,',t4,
,,AND,on,,,,AND,on,
,,t3.year,t4,,,,t3.tahun,t4,
,,=,.,,,,=,.,
,,2012,venueid,,,,2012,venueid,
,,AND,=,,,,AND,=,
,,t4.venuename,t3,,,,t4.nama_tempat,t3,
,,=,.,,,,=,.,
,,``,venueid,,,,``,venueid,
,,acl,where,,,,acl,where,
,,',t1,,,,',t1,
,,;,.,,,,;,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
,,,and,,,,,and,
,,,t3,,,,,t3,
,,,.,,,,,.,
,,,year,,,,,year,
,,,=,,,,,=,
,,,value,,,,,value,
,,,and,,,,,and,
,,,t4,,,,,t4,
,,,.,,,,,.,
,,,venuename,,,,,nama_tempat,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,how many Parsing papers did acl 2012 have ?,SELECT,select,"""Parsing""",sarjana,berapa banyak makalah Parsing yang dimiliki acl 2012?,SELECT,select,"""Penguraian"""
,,DISTINCT,distinct,"""acl""",,,DISTINCT,distinct,"""acl"""
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,JOIN,as,,,,JOIN,as,
,,venue,t3,,,,lokasi,t3,
,,AS,on,,,,AS,on,
,,t4,t3,,,,t4,t3,
,,ON,.,,,,ON,.,
,,t4.venueid,paperid,,,,t4.venueid,kertasid,
,,=,=,,,,=,=,
,,t3.venueid,t2,,,,t3.tempatid,t2,
,,WHERE,.,,,,WHERE,.,
,,t1.keyphrasename,paperid,,,,t1.nama_frase_kunci,kertasid,
,,=,join,,,,=,join,
,,``,venue,,,,``,lokasi,
,,Parsing,as,,,,Penguraian,as,
,,',t4,,,,',t4,
,,AND,on,,,,AND,on,
,,t3.year,t4,,,,t3.tahun,t4,
,,=,.,,,,=,.,
,,2012,venueid,,,,2012,venueid,
,,AND,=,,,,AND,=,
,,t4.venuename,t3,,,,t4.nama_tempat,t3,
,,=,.,,,,=,.,
,,``,venueid,,,,``,venueid,
,,acl,where,,,,acl,where,
,,',t1,,,,',t1,
,,;,.,,,,;,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
,,,and,,,,,and,
,,,t3,,,,,t3,
,,,.,,,,,.,
,,,year,,,,,year,
,,,=,,,,,=,
,,,value,,,,,value,
,,,and,,,,,and,
,,,t4,,,,,t4,
,,,.,,,,,.,
,,,venuename,,,,,nama_tempat,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,who published Parsing papers at acl 2012,SELECT,select,"""Parsing""",sarjana,yang menerbitkan makalah Parsing di acl 2012,SELECT,select,"""Penguraian"""
,,DISTINCT,distinct,"""acl""",,,DISTINCT,distinct,"""acl"""
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,JOIN,as,,,,JOIN,as,
,,venue,t3,,,,lokasi,t3,
,,AS,on,,,,AS,on,
,,t4,t3,,,,t4,t3,
,,ON,.,,,,ON,.,
,,t4.venueid,paperid,,,,t4.venueid,kertasid,
,,=,=,,,,=,=,
,,t3.venueid,t2,,,,t3.tempatid,t2,
,,WHERE,.,,,,WHERE,.,
,,t1.keyphrasename,paperid,,,,t1.nama_frase_kunci,kertasid,
,,=,join,,,,=,join,
,,``,venue,,,,``,lokasi,
,,Parsing,as,,,,Penguraian,as,
,,',t4,,,,',t4,
,,AND,on,,,,AND,on,
,,t3.year,t4,,,,t3.tahun,t4,
,,=,.,,,,=,.,
,,2012,venueid,,,,2012,venueid,
,,AND,=,,,,AND,=,
,,t4.venuename,t3,,,,t4.nama_tempat,t3,
,,=,.,,,,=,.,
,,``,venueid,,,,``,venueid,
,,acl,where,,,,acl,where,
,,',t1,,,,',t1,
,,;,.,,,,;,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
,,,and,,,,,and,
,,,t3,,,,,t3,
,,,.,,,,,.,
,,,year,,,,,year,
,,,=,,,,,=,
,,,value,,,,,value,
,,,and,,,,,and,
,,,t4,,,,,t4,
,,,.,,,,,.,
,,,venuename,,,,,nama_tempat,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,which papers in acl 2012 had Parsing in them ?,SELECT,select,"""Parsing""",sarjana,makalah mana di acl 2012 yang memiliki Parsing di dalamnya?,SELECT,select,"""Penguraian"""
,,DISTINCT,distinct,"""acl""",,,DISTINCT,distinct,"""acl"""
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,JOIN,as,,,,JOIN,as,
,,venue,t3,,,,lokasi,t3,
,,AS,on,,,,AS,on,
,,t4,t3,,,,t4,t3,
,,ON,.,,,,ON,.,
,,t4.venueid,paperid,,,,t4.venueid,kertasid,
,,=,=,,,,=,=,
,,t3.venueid,t2,,,,t3.tempatid,t2,
,,WHERE,.,,,,WHERE,.,
,,t1.keyphrasename,paperid,,,,t1.nama_frase_kunci,kertasid,
,,=,join,,,,=,join,
,,``,venue,,,,``,lokasi,
,,Parsing,as,,,,Penguraian,as,
,,',t4,,,,',t4,
,,AND,on,,,,AND,on,
,,t3.year,t4,,,,t3.tahun,t4,
,,=,.,,,,=,.,
,,2012,venueid,,,,2012,venueid,
,,AND,=,,,,AND,=,
,,t4.venuename,t3,,,,t4.nama_tempat,t3,
,,=,.,,,,=,.,
,,``,venueid,,,,``,venueid,
,,acl,where,,,,acl,where,
,,',t1,,,,',t1,
,,;,.,,,,;,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
,,,and,,,,,and,
,,,t3,,,,,t3,
,,,.,,,,,.,
,,,year,,,,,year,
,,,=,,,,,=,
,,,value,,,,,value,
,,,and,,,,,and,
,,,t4,,,,,t4,
,,,.,,,,,.,
,,,venuename,,,,,nama_tempat,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,what were some Parsing based papers in acl 2012 ?,SELECT,select,"""Parsing""",sarjana,apa sajakah makalah berbasis Parsing di acl 2012?,SELECT,select,"""Penguraian"""
,,DISTINCT,distinct,"""acl""",,,DISTINCT,distinct,"""acl"""
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,JOIN,as,,,,JOIN,as,
,,venue,t3,,,,lokasi,t3,
,,AS,on,,,,AS,on,
,,t4,t3,,,,t4,t3,
,,ON,.,,,,ON,.,
,,t4.venueid,paperid,,,,t4.venueid,kertasid,
,,=,=,,,,=,=,
,,t3.venueid,t2,,,,t3.tempatid,t2,
,,WHERE,.,,,,WHERE,.,
,,t1.keyphrasename,paperid,,,,t1.nama_frase_kunci,kertasid,
,,=,join,,,,=,join,
,,``,venue,,,,``,lokasi,
,,Parsing,as,,,,Penguraian,as,
,,',t4,,,,',t4,
,,AND,on,,,,AND,on,
,,t3.year,t4,,,,t3.tahun,t4,
,,=,.,,,,=,.,
,,2012,venueid,,,,2012,venueid,
,,AND,=,,,,AND,=,
,,t4.venuename,t3,,,,t4.nama_tempat,t3,
,,=,.,,,,=,.,
,,``,venueid,,,,``,venueid,
,,acl,where,,,,acl,where,
,,',t1,,,,',t1,
,,;,.,,,,;,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
,,,and,,,,,and,
,,,t3,,,,,t3,
,,,.,,,,,.,
,,,year,,,,,year,
,,,=,,,,,=,
,,,value,,,,,value,
,,,and,,,,,and,
,,,t4,,,,,t4,
,,,.,,,,,.,
,,,venuename,,,,,nama_tempat,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,List the popular publications on dependent types,SELECT,select,"""dependent types""",sarjana,Buat daftar publikasi populer berdasarkan tipe dependen,SELECT,select,"""tipe ketergantungan"""
,,DISTINCT,distinct,,,,DISTINCT,distinct,
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,WHERE,as,,,,WHERE,as,
,,t1.keyphrasename,t3,,,,t1.nama_frase_kunci,t3,
,,=,on,,,,=,on,
,,``,t3,,,,``,t3,
,,dependent,.,,,,bergantung,.,
,,types,paperid,,,,types,kertasid,
,,',=,,,,',=,
,,;,t2,,,,;,t2,
,,,.,,,,,.,
,,,paperid,,,,,kertasid,
,,,where,,,,,where,
,,,t1,,,,,t1,
,,,.,,,,,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,Which paper should I read about dependent types ?,SELECT,select,"""dependent types""",sarjana,Makalah mana yang harus saya baca tentang tipe dependen?,SELECT,select,"""tipe ketergantungan"""
,,DISTINCT,distinct,,,,DISTINCT,distinct,
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,WHERE,as,,,,WHERE,as,
,,t1.keyphrasename,t3,,,,t1.nama_frase_kunci,t3,
,,=,on,,,,=,on,
,,``,t3,,,,``,t3,
,,dependent,.,,,,bergantung,.,
,,types,paperid,,,,types,kertasid,
,,',=,,,,',=,
,,;,t2,,,,;,t2,
,,,.,,,,,.,
,,,paperid,,,,,kertasid,
,,,where,,,,,where,
,,,t1,,,,,t1,
,,,.,,,,,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,top dependent types papers,SELECT,select,"""dependent types""",sarjana,jenis makalah yang bergantung atas,SELECT,select,"""tipe ketergantungan"""
,,DISTINCT,distinct,,,,DISTINCT,distinct,
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,WHERE,as,,,,WHERE,as,
,,t1.keyphrasename,t3,,,,t1.nama_frase_kunci,t3,
,,=,on,,,,=,on,
,,``,t3,,,,``,t3,
,,dependent,.,,,,bergantung,.,
,,types,paperid,,,,types,kertasid,
,,',=,,,,',=,
,,;,t2,,,,;,t2,
,,,.,,,,,.,
,,,paperid,,,,,kertasid,
,,,where,,,,,where,
,,,t1,,,,,t1,
,,,.,,,,,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,List papers that has a keyword Question Answering,SELECT,select,"""Question Answering""",sarjana,Daftar makalah yang mempunyai kata kunci Question Answering,SELECT,select,"""Menjawab Pertanyaan"""
,,DISTINCT,distinct,,,,DISTINCT,distinct,
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,WHERE,as,,,,WHERE,as,
,,t1.keyphrasename,t3,,,,t1.nama_frase_kunci,t3,
,,=,on,,,,=,on,
,,``,t3,,,,``,t3,
,,Question,.,,,,Pertanyaan,.,
,,Answering,paperid,,,,Menjawab,kertasid,
,,',=,,,,',=,
,,;,t2,,,,;,t2,
,,,.,,,,,.,
,,,paperid,,,,,kertasid,
,,,where,,,,,where,
,,,t1,,,,,t1,
,,,.,,,,,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,Question Answering research papers,SELECT,select,"""Question Answering""",sarjana,Makalah penelitian Menjawab Pertanyaan,SELECT,select,"""Menjawab Pertanyaan"""
,,DISTINCT,distinct,,,,DISTINCT,distinct,
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,WHERE,as,,,,WHERE,as,
,,t1.keyphrasename,t3,,,,t1.nama_frase_kunci,t3,
,,=,on,,,,=,on,
,,``,t3,,,,``,t3,
,,Question,.,,,,Pertanyaan,.,
,,Answering,paperid,,,,Menjawab,kertasid,
,,',=,,,,',=,
,,;,t2,,,,;,t2,
,,,.,,,,,.,
,,,paperid,,,,,kertasid,
,,,where,,,,,where,
,,,t1,,,,,t1,
,,,.,,,,,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,papers on Question Answering,SELECT,select,"""Question Answering""",sarjana,makalah tentang Menjawab Pertanyaan,SELECT,select,"""Menjawab Pertanyaan"""
,,DISTINCT,distinct,,,,DISTINCT,distinct,
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,WHERE,as,,,,WHERE,as,
,,t1.keyphrasename,t3,,,,t1.nama_frase_kunci,t3,
,,=,on,,,,=,on,
,,``,t3,,,,``,t3,
,,Question,.,,,,Pertanyaan,.,
,,Answering,paperid,,,,Menjawab,kertasid,
,,',=,,,,',=,
,,;,t2,,,,;,t2,
,,,.,,,,,.,
,,,paperid,,,,,kertasid,
,,,where,,,,,where,
,,,t1,,,,,t1,
,,,.,,,,,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,papers related to Question Answering,SELECT,select,"""Question Answering""",sarjana,makalah yang berkaitan dengan Menjawab Pertanyaan,SELECT,select,"""Menjawab Pertanyaan"""
,,DISTINCT,distinct,,,,DISTINCT,distinct,
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,WHERE,as,,,,WHERE,as,
,,t1.keyphrasename,t3,,,,t1.nama_frase_kunci,t3,
,,=,on,,,,=,on,
,,``,t3,,,,``,t3,
,,Question,.,,,,Pertanyaan,.,
,,Answering,paperid,,,,Menjawab,kertasid,
,,',=,,,,',=,
,,;,t2,,,,;,t2,
,,,.,,,,,.,
,,,paperid,,,,,kertasid,
,,,where,,,,,where,
,,,t1,,,,,t1,
,,,.,,,,,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,papers about Question Answering,SELECT,select,"""Question Answering""",sarjana,makalah tentang Menjawab Pertanyaan,SELECT,select,"""Menjawab Pertanyaan"""
,,DISTINCT,distinct,,,,DISTINCT,distinct,
,,t3.paperid,t3,,,,t3.paperid,t3,
,,FROM,.,,,,FROM,.,
,,paperkeyphrase,paperid,,,,frase_kunci_kertas,kertasid,
,,AS,from,,,,AS,from,
,,t2,paperkeyphrase,,,,t2,frase_kunci_kertas,
,,JOIN,as,,,,JOIN,as,
,,keyphrase,t2,,,,frasa_kunci,t2,
,,AS,join,,,,AS,join,
,,t1,keyphrase,,,,t1,frasa_kunci,
,,ON,as,,,,ON,as,
,,t2.keyphraseid,t1,,,,t2.frasa_kunci,t1,
,,=,on,,,,=,on,
,,t1.keyphraseid,t2,,,,t1.frasa_kunci,t2,
,,JOIN,.,,,,JOIN,.,
,,paper,keyphraseid,,,,kertas,frase_kunci,
,,AS,=,,,,AS,=,
,,t3,t1,,,,t3,t1,
,,ON,.,,,,ON,.,
,,t3.paperid,keyphraseid,,,,t3.paperid,frase_kunci,
,,=,join,,,,=,join,
,,t2.paperid,paper,,,,t2.paperid,kertas,
,,WHERE,as,,,,WHERE,as,
,,t1.keyphrasename,t3,,,,t1.nama_frase_kunci,t3,
,,=,on,,,,=,on,
,,``,t3,,,,``,t3,
,,Question,.,,,,Pertanyaan,.,
,,Answering,paperid,,,,Menjawab,kertasid,
,,',=,,,,',=,
,,;,t2,,,,;,t2,
,,,.,,,,,.,
,,,paperid,,,,,kertasid,
,,,where,,,,,where,
,,,t1,,,,,t1,
,,,.,,,,,.,
,,,keyphrasename,,,,,nama_frase_kunci,
,,,=,,,,,=,
,,,value,,,,,value,
scholar,Papers about Question Answering,SELECT,select,"""Question Answering""",sarjana,Makalah tentang Menjawab Pertanyaan,SELECT,select,"""Menjawab Pertanyaan"""
,,DISTINCT,distinct,,,,DISTINCT,distinct,
