db_id,query_toks,question,db_id_id,query_toks_id,question_id
,T3,,,T3,
,ON,,,ON,
,T2.school_id,,,T2.id_sekolah,
,=,,,=,
,T3.school_id,,,T3.id_sekolah,
,GROUP,,,GROUP,
,BY,,,BY,
,T2.school_name,,,T2.nama_sekolah,
,HAVING,,,HAVING,
,sum,,,sum,
,(,,,(,
,T1.budgeted,,,T1.dianggarkan,
,),,,),
,>,,,>,
,100,,,100,
,OR,,,OR,
,sum,,,sum,
,(,,,(,
,T3.amount,,,T3.jumlah,
,),,,),
,>,,,>,
,10,,,10,
school_finance,SELECT,Find the names of schools that have more than one donator with donation amount above 8.5.,sekolah_keuangan,SELECT,"Carilah nama sekolah yang mempunyai donatur lebih dari satu dengan jumlah donasi diatas 8,5."
,T2.School_name,,,T2.Nama_Sekolah,
,FROM,,,FROM,
,endowment,,,sumbangan,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,school,,,sekolah,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.school_id,,,T1.id_sekolah,
,=,,,=,
,T2.school_id,,,T2.id_sekolah,
,WHERE,,,WHERE,
,T1.amount,,,T1.jumlah,
,>,,,>,
,8.5,,,8.5,
,GROUP,,,GROUP,
,BY,,,BY,
,T1.school_id,,,T1.id_sekolah,
,HAVING,,,HAVING,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,>,,,>,
,1,,,1,
school_finance,SELECT,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,sekolah_keuangan,SELECT,"Tentukan banyaknya sekolah yang mempunyai lebih dari satu donatur yang jumlah donasinya kurang dari 8,5."
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,(,,,(,
,SELECT,,,SELECT,
,*,,,*,
,FROM,,,FROM,
,endowment,,,sumbangan,
,WHERE,,,WHERE,
,amount,,,jumlah,
,>,,,>,
,8.5,,,8.5,
,GROUP,,,GROUP,
,BY,,,BY,
,school_id,,,id_sekolah,
,HAVING,,,HAVING,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,>,,,>,
,1,,,1,
,),,,),
school_finance,SELECT,"List the name, IHSAA Football Class, and Mascot of the schools that have more than 6000 of budgeted amount or were founded before 2003, in the order of percent of total invested budget and total budgeted budget.",sekolah_keuangan,SELECT,"Cantumkan nama, Kelas Sepak Bola IHSAA, dan Maskot sekolah yang memiliki jumlah anggaran lebih dari 6000 atau didirikan sebelum tahun 2003, diurutkan berdasarkan persentase total anggaran yang diinvestasikan dan total anggaran yang dianggarkan."
,T1.School_name,,,T1.Nama_Sekolah,
,",",,,",",
,T1.Mascot,,,T1.Maskot,
,",",,,",",
,T1.IHSAA_Football_Class,,,T1.IHSAA_Kelas_Sepak_Bola,
,FROM,,,FROM,
,school,,,sekolah,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,budget,,,anggaran,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.school_id,,,T1.id_sekolah,
,=,,,=,
,T2.school_id,,,T2.id_sekolah,
,WHERE,,,WHERE,
,Budgeted,,,Dianggarkan,
,>,,,>,
,6000,,,6000,
,OR,,,OR,
,YEAR,,,YEAR,
,<,,,<,
,2003,,,2003,
,ORDER,,,ORDER,
,BY,,,BY,
,T2.total_budget_percent_invested,,,T2.total_budget_percent_invested,
,",",,,",",
,T2.total_budget_percent_budgeted,,,T2.total_budget_percent_dianggarkan,
protein_institute,SELECT,How many buildings are there?,protein_institut,SELECT,Berapa banyak bangunan yang ada di sana?
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,building,,,bangunan,
protein_institute,SELECT,"Show the name, street address, and number of floors for all buildings ordered by the number of floors.",protein_institut,SELECT,"Menampilkan nama, alamat jalan, dan jumlah lantai untuk semua bangunan yang diurutkan berdasarkan jumlah lantai."
,name,,,nama,
,",",,,",",
,street_address,,,alamat_jalan,
,",",,,",",
,floors,,,lantai,
,FROM,,,FROM,
,building,,,bangunan,
,ORDER,,,ORDER,
,BY,,,BY,
,floors,,,lantai,
protein_institute,SELECT,What is the name of the tallest building?,protein_institut,SELECT,Apa nama gedung tertinggi?
,name,,,nama,
,FROM,,,FROM,
,building,,,bangunan,
,ORDER,,,ORDER,
,BY,,,BY,
,height_feet,,,tinggi_kaki,
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
protein_institute,SELECT,"What are the average, maximum, and minimum number of floors for all buildings?",protein_institut,SELECT,"Berapa jumlah lantai rata-rata, maksimum, dan minimum untuk semua bangunan?"
,avg,,,avg,
,(,,,(,
,floors,,,lantai,
,),,,),
,",",,,",",
,max,,,max,
,(,,,(,
,floors,,,lantai,
,),,,),
,",",,,",",
,min,,,min,
,(,,,(,
,floors,,,lantai,
,),,,),
,FROM,,,FROM,
,building,,,bangunan,
protein_institute,SELECT,Show the number of buildings with a height above the average or a number of floors above the average.,protein_institut,SELECT,Tunjukkan banyaknya bangunan yang tingginya di atas rata-rata atau jumlah lantai di atas rata-rata.
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,building,,,bangunan,
,WHERE,,,WHERE,
,height_feet,,,tinggi_kaki,
,>,,,>,
,(,,,(,
,SELECT,,,SELECT,
,avg,,,avg,
,(,,,(,
,height_feet,,,tinggi_kaki,
,),,,),
,FROM,,,FROM,
,building,,,bangunan,
,),,,),
,OR,,,OR,
,floors,,,lantai,
,>,,,>,
,(,,,(,
,SELECT,,,SELECT,
,avg,,,avg,
,(,,,(,
,floors,,,lantai,
,),,,),
,FROM,,,FROM,
,building,,,bangunan,
,),,,),
protein_institute,SELECT,List the names of buildings with at least 200 feet of height and with at least 20 floors.,protein_institut,SELECT,Sebutkan nama-nama bangunan yang tingginya minimal 200 kaki dan minimal 20 lantai.
,name,,,nama,
,FROM,,,FROM,
,building,,,bangunan,
,WHERE,,,WHERE,
,height_feet,,,tinggi_kaki,
,>,,,>,
,=,,,=,
,200,,,200,
,AND,,,AND,
,floors,,,lantai,
,>,,,>,
,=,,,=,
,20,,,20,
protein_institute,SELECT,"Show the names and locations of institutions that are founded after 1990 and have the type ""Private"".",protein_institut,SELECT,Menunjukkan nama dan lokasi lembaga yang didirikan setelah tahun 1990 dan bertipe “Swasta”.
,institution,,,lembaga,
,",",,,",",
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,institution,,,lembaga,
,WHERE,,,WHERE,
,founded,,,didirikan,
,>,,,>,
,1990,,,1990,
,AND,,,AND,
,TYPE,,,TYPE,
,=,,,=,
,Private,,,Private,
,,,,,
protein_institute,SELECT,"Show institution types, along with the number of institutions and total enrollment for each type.",protein_institut,SELECT,"Tunjukkan jenis institusi, beserta jumlah institusi dan total pendaftaran untuk setiap jenis."
,TYPE,,,TYPE,
,",",,,",",
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,",",,,",",
,sum,,,sum,
,(,,,(,
,enrollment,,,pendaftaran,
,),,,),
,FROM,,,FROM,
,institution,,,lembaga,
,GROUP,,,GROUP,
,BY,,,BY,
,TYPE,,,TYPE,
protein_institute,SELECT,Show the institution type with the largest number of institutions.,protein_institut,SELECT,Tunjukkan jenis institusi dengan jumlah institusi terbanyak.
,TYPE,,,TYPE,
,FROM,,,FROM,
,institution,,,lembaga,
,GROUP,,,GROUP,
,BY,,,BY,
,TYPE,,,TYPE,
,ORDER,,,ORDER,
,BY,,,BY,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
protein_institute,SELECT,Show the institution type with an institution founded after 1990 and an institution with at least 1000 enrollment.,protein_institut,SELECT,Tunjukkan jenis institusi dengan institusi yang didirikan setelah tahun 1990 dan institusi dengan setidaknya 1000 pendaftaran.
,TYPE,,,TYPE,
,FROM,,,FROM,
,institution,,,lembaga,
,WHERE,,,WHERE,
,founded,,,didirikan,
,>,,,>,
,1990,,,1990,
,AND,,,AND,
,enrollment,,,pendaftaran,
,>,,,>,
,=,,,=,
,1000,,,1000,
protein_institute,SELECT,Show the name of buildings that do not have any institution.,protein_institut,SELECT,Tunjukkan nama gedung yang tidak mempunyai institusi apapun.
,name,,,nama,
,FROM,,,FROM,
,building,,,bangunan,
,WHERE,,,WHERE,
,building_id,,,id_bangunan,
,NOT,,,NOT,
,IN,,,IN,
,(,,,(,
,SELECT,,,SELECT,
,building_id,,,id_bangunan,
,FROM,,,FROM,
,institution,,,lembaga,
,),,,),
protein_institute,SELECT,Show the names of buildings except for those having an institution founded in 2003.,protein_institut,SELECT,Tunjukkan nama-nama gedung kecuali yang mempunyai lembaga yang didirikan pada tahun 2003.
,name,,,nama,
,FROM,,,FROM,
,building,,,bangunan,
,EXCEPT,,,EXCEPT,
,SELECT,,,SELECT,
,T1.name,,,T1.nama,
,FROM,,,FROM,
,building,,,bangunan,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,institution,,,lembaga,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.building_id,,,T1.id_bangunan,
,=,,,=,
,T2.building_id,,,T2.id_building,
,WHERE,,,WHERE,
,T2.founded,,,T2.didirikan,
,=,,,=,
,2003,,,2003,
protein_institute,SELECT,"For each building, show the name of the building and the number of institutions in it.",protein_institut,SELECT,"Untuk setiap gedung, tunjukkan nama gedung dan jumlah institusi yang ada di dalamnya."
,T1.name,,,T1.nama,
,",",,,",",
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,building,,,bangunan,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,institution,,,lembaga,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.building_id,,,T1.id_bangunan,
,=,,,=,
,T2.building_id,,,T2.id_building,
,GROUP,,,GROUP,
,BY,,,BY,
,T1.building_id,,,T1.id_bangunan,
protein_institute,SELECT,Show the names and heights of buildings with at least two institutions founded after 1880.,protein_institut,SELECT,Tunjukkan nama dan ketinggian bangunan yang memiliki setidaknya dua institusi yang didirikan setelah tahun 1880.
,T1.name,,,T1.nama,
,",",,,",",
,T1.height_feet,,,T1.tinggi_kaki,
,FROM,,,FROM,
,building,,,bangunan,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,institution,,,lembaga,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.building_id,,,T1.id_bangunan,
,=,,,=,
,T2.building_id,,,T2.id_building,
,WHERE,,,WHERE,
,T2.founded,,,T2.didirikan,
,>,,,>,
,1880,,,1880,
,GROUP,,,GROUP,
,BY,,,BY,
,T1.building_id,,,T1.id_bangunan,
,HAVING,,,HAVING,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,>,,,>,
,=,,,=,
,2,,,2,
protein_institute,SELECT,Show all the distinct institution types.,protein_institut,SELECT,Tunjukkan semua jenis institusi yang berbeda.
,DISTINCT,,,DISTINCT,
,TYPE,,,TYPE,
,FROM,,,FROM,
,institution,,,lembaga,
protein_institute,SELECT,Show institution names along with the number of proteins for each institution.,protein_institut,SELECT,Tampilkan nama institusi beserta jumlah protein tiap institusi.
,T1.institution,,,T1.institusi,
,",",,,",",
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,institution,,,lembaga,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,protein,,,protein,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.institution_id,,,T1.id_institusi,
,=,,,=,
,T2.institution_id,,,T2.id_institusi,
,GROUP,,,GROUP,
,BY,,,BY,
,T1.institution_id,,,T1.id_institusi,
protein_institute,SELECT,"How many proteins are associated with an institution founded after 1880 or an institution with type ""Private""?",protein_institut,SELECT,"Berapa banyak protein yang terkait dengan lembaga yang didirikan setelah tahun 1880 atau lembaga dengan tipe ""Swasta""?"
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,institution,,,lembaga,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,protein,,,protein,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.institution_id,,,T1.id_institusi,
,=,,,=,
,T2.institution_id,,,T2.id_institusi,
,WHERE,,,WHERE,
,T1.founded,,,T1.didirikan,
,>,,,>,
,1880,,,1880,
,OR,,,OR,
,T1.type,,,T1.tipe,
,=,,,=,
,Private,,,Private,
,,,,,
protein_institute,SELECT,Show the protein name and the institution name.,protein_institut,SELECT,Tunjukkan nama protein dan nama institusi.
,T2.protein_name,,,T2.nama_protein,
,",",,,",",
,T1.institution,,,T1.institusi,
,FROM,,,FROM,
,institution,,,lembaga,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,protein,,,protein,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.institution_id,,,T1.id_institusi,
,=,,,=,
,T2.institution_id,,,T2.id_institusi,
protein_institute,SELECT,How many proteins are associated with an institution in a building with at least 20 floors?,protein_institut,SELECT,Berapa banyak protein yang diasosiasikan dengan institusi di gedung yang memiliki minimal 20 lantai?
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,institution,,,lembaga,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,protein,,,protein,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.institution_id,,,T1.id_institusi,
,=,,,=,
,T2.institution_id,,,T2.id_institusi,
,JOIN,,,JOIN,
,building,,,bangunan,
,AS,,,AS,
,T3,,,T3,
,ON,,,ON,
,T3.building_id,,,T3.id_building,
,=,,,=,
,T1.building_id,,,T1.id_bangunan,
,WHERE,,,WHERE,
,T3.floors,,,T3.lantai,
,>,,,>,
,=,,,=,
,20,,,20,
protein_institute,SELECT,How many institutions do not have an associated protein in our record?,protein_institut,SELECT,Berapa banyak institusi yang tidak memiliki protein terkait dalam catatan kami?
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,institution,,,lembaga,
,WHERE,,,WHERE,
,institution_id,,,id_institusi,
,NOT,,,NOT,
,IN,,,IN,
,(,,,(,
,SELECT,,,SELECT,
,institution_id,,,id_institusi,
,FROM,,,FROM,
,protein,,,protein,
,),,,),
cinema,SELECT,Show all the locations where no cinema has capacity over 800.,bioskop,SELECT,Tampilkan semua lokasi di mana tidak ada bioskop yang berkapasitas lebih dari 800.
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
,EXCEPT,,,EXCEPT,
,SELECT,,,SELECT,
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
,WHERE,,,WHERE,
,capacity,,,kapasitas,
,>,,,>,
,800,,,800,
cinema,SELECT,Show all the locations where some cinemas were opened in both year 2010 and year 2011.,bioskop,SELECT,Tunjukkan semua lokasi di mana beberapa bioskop dibuka pada tahun 2010 dan tahun 2011.
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
,WHERE,,,WHERE,
,openning_year,,,pembukaan_tahun,
,=,,,=,
,2010,,,2010,
,INTERSECT,,,INTERSECT,
,SELECT,,,SELECT,
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
,WHERE,,,WHERE,
,openning_year,,,pembukaan_tahun,
,=,,,=,
,2011,,,2011,
cinema,SELECT,How many cinema do we have?,bioskop,SELECT,Berapa banyak bioskop yang kita punya?
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,cinema,,,bioskop,
cinema,SELECT,Count the number of cinemas.,bioskop,SELECT,Hitung jumlah bioskop.
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,cinema,,,bioskop,
cinema,SELECT,"Show name, opening year, and capacity for each cinema.",bioskop,SELECT,"Nama pertunjukan, tahun pembukaan, dan kapasitas masing-masing bioskop."
,name,,,nama,
,",",,,",",
,openning_year,,,pembukaan_tahun,
,",",,,",",
,capacity,,,kapasitas,
,FROM,,,FROM,
,cinema,,,bioskop,
cinema,SELECT,Show the cinema name and location for cinemas with capacity above average.,bioskop,SELECT,Menampilkan nama bioskop dan lokasi bioskop dengan kapasitas di atas rata-rata.
,name,,,nama,
,",",,,",",
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
,WHERE,,,WHERE,
,capacity,,,kapasitas,
,>,,,>,
,(,,,(,
,SELECT,,,SELECT,
,avg,,,avg,
,(,,,(,
,capacity,,,kapasitas,
,),,,),
,FROM,,,FROM,
,cinema,,,bioskop,
,),,,),
cinema,SELECT,What are all the locations with a cinema?,bioskop,SELECT,Apa saja lokasi yang memiliki bioskop?
,DISTINCT,,,DISTINCT,
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
cinema,SELECT,Find the distinct locations that has a cinema.,bioskop,SELECT,Temukan lokasi berbeda yang memiliki bioskop.
,DISTINCT,,,DISTINCT,
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
cinema,SELECT,Show all the cinema names and opening years in descending order of opening year.,bioskop,SELECT,Tampilkan semua nama bioskop dan tahun pembukaan dalam urutan tahun pembukaan.
,name,,,nama,
,",",,,",",
,openning_year,,,pembukaan_tahun,
,FROM,,,FROM,
,cinema,,,bioskop,
,ORDER,,,ORDER,
,BY,,,BY,
,openning_year,,,pembukaan_tahun,
,DESC,,,DESC,
cinema,SELECT,What are the name and location of the cinema with the largest capacity?,bioskop,SELECT,Apa nama dan lokasi bioskop dengan kapasitas terbesar?
,name,,,nama,
,",",,,",",
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
,ORDER,,,ORDER,
,BY,,,BY,
,capacity,,,kapasitas,
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
cinema,SELECT,"Show the average, minimum, and maximum capacity for all the cinemas opened in year 2011 or later.",bioskop,SELECT,"Tunjukkan kapasitas rata-rata, minimum, dan maksimum untuk semua bioskop yang dibuka pada tahun 2011 atau setelahnya."
,avg,,,avg,
,(,,,(,
,capacity,,,kapasitas,
,),,,),
,",",,,",",
,min,,,min,
,(,,,(,
,capacity,,,kapasitas,
,),,,),
,",",,,",",
,max,,,max,
,(,,,(,
,capacity,,,kapasitas,
,),,,),
,FROM,,,FROM,
,cinema,,,bioskop,
,WHERE,,,WHERE,
,openning_year,,,pembukaan_tahun,
,>,,,>,
,=,,,=,
,2011,,,2011,
cinema,SELECT,Show each location and the number of cinemas there.,bioskop,SELECT,Tunjukkan setiap lokasi dan jumlah bioskop di sana.
,LOCATION,,,LOCATION,
,",",,,",",
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,cinema,,,bioskop,
,GROUP,,,GROUP,
,BY,,,BY,
,LOCATION,,,LOCATION,
cinema,SELECT,What is the location with the most cinemas opened in year 2010 or later?,bioskop,SELECT,Di manakah lokasi bioskop yang paling banyak dibuka pada tahun 2010 atau setelahnya?
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
,WHERE,,,WHERE,
,openning_year,,,pembukaan_tahun,
,>,,,>,
,=,,,=,
,2010,,,2010,
,GROUP,,,GROUP,
,BY,,,BY,
,LOCATION,,,LOCATION,
,ORDER,,,ORDER,
,BY,,,BY,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
cinema,SELECT,Show all the locations with at least two cinemas with capacity above 300.,bioskop,SELECT,Tampilkan semua lokasi yang memiliki minimal dua bioskop dengan kapasitas di atas 300.
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
,WHERE,,,WHERE,
,capacity,,,kapasitas,
,>,,,>,
,300,,,300,
,GROUP,,,GROUP,
,BY,,,BY,
,LOCATION,,,LOCATION,
,HAVING,,,HAVING,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,>,,,>,
,=,,,=,
,2,,,2,
cinema,SELECT,Which locations have 2 or more cinemas with capacity over 300?,bioskop,SELECT,Lokasi manakah yang memiliki 2 bioskop atau lebih dengan kapasitas lebih dari 300?
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
,WHERE,,,WHERE,
,capacity,,,kapasitas,
,>,,,>,
,300,,,300,
,GROUP,,,GROUP,
,BY,,,BY,
,LOCATION,,,LOCATION,
,HAVING,,,HAVING,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,>,,,>,
,=,,,=,
,2,,,2,
cinema,SELECT,Show the title and director for all films.,bioskop,SELECT,Tunjukkan judul dan sutradara untuk semua film.
,title,,,title,
,",",,,",",
,directed_by,,,diarahkan_oleh,
,FROM,,,FROM,
,film,,,film,
cinema,SELECT,What are the title and director of each film?,bioskop,SELECT,Apa judul dan sutradara masing-masing film?
,title,,,title,
,",",,,",",
,directed_by,,,diarahkan_oleh,
,FROM,,,FROM,
,film,,,film,
cinema,SELECT,Show all directors.,bioskop,SELECT,Tampilkan semua direktur.
,DISTINCT,,,DISTINCT,
,directed_by,,,diarahkan_oleh,
,FROM,,,FROM,
,film,,,film,
cinema,SELECT,Who are all the directors?,bioskop,SELECT,Siapa saja direkturnya?
,DISTINCT,,,DISTINCT,
,directed_by,,,diarahkan_oleh,
,FROM,,,FROM,
,film,,,film,
cinema,SELECT,List all directors along with the number of films directed by each director.,bioskop,SELECT,Cantumkan semua sutradara beserta jumlah film yang disutradarai oleh masing-masing sutradara.
,directed_by,,,diarahkan_oleh,
,",",,,",",
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,film,,,film,
,GROUP,,,GROUP,
,BY,,,BY,
,directed_by,,,diarahkan_oleh,
cinema,SELECT,What is total number of show times per dat for each cinema?,bioskop,SELECT,Berapa jumlah total waktu tayang per tanggal untuk setiap bioskop?
,T2.name,,,T2.nama,
,",",,,",",
,sum,,,sum,
,(,,,(,
,T1.show_times_per_day,,,T1.waktu_tampilan_per_hari,
,),,,),
,FROM,,,FROM,
,schedule,,,jadwal,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,cinema,,,bioskop,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.cinema_id,,,T1.id_cinema,
,=,,,=,
,T2.cinema_id,,,T2.id_cinema,
,GROUP,,,GROUP,
,BY,,,BY,
,T1.cinema_id,,,T1.id_cinema,
cinema,SELECT,What are the title and maximum price of each film?,bioskop,SELECT,Berapa judul dan harga maksimal tiap filmnya?
,T2.title,,,T2.judul,
,",",,,",",
,max,,,max,
,(,,,(,
,T1.price,,,T1.harga,
,),,,),
,FROM,,,FROM,
,schedule,,,jadwal,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,film,,,film,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.film_id,,,T1.id_film,
,=,,,=,
,T2.film_id,,,T2.id_film,
,GROUP,,,GROUP,
,BY,,,BY,
,T1.film_id,,,T1.id_film,
cinema,SELECT,Give me the title and highest price for each film.,bioskop,SELECT,Beri saya judul dan harga tertinggi untuk setiap film.
,T2.title,,,T2.judul,
,",",,,",",
,max,,,max,
,(,,,(,
,T1.price,,,T1.harga,
,),,,),
,FROM,,,FROM,
,schedule,,,jadwal,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,film,,,film,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.film_id,,,T1.id_film,
,=,,,=,
,T2.film_id,,,T2.id_film,
,GROUP,,,GROUP,
,BY,,,BY,
,T1.film_id,,,T1.id_film,
cinema,SELECT,"Show cinema name, film title, date, and price for each record in schedule.",bioskop,SELECT,"Tampilkan nama bioskop, judul film, tanggal, dan harga untuk setiap rekaman dalam jadwal."
,T3.name,,,T3.nama,
,",",,,",",
,T2.title,,,T2.judul,
,",",,,",",
,T1.date,,,T1.tanggal,
,",",,,",",
,T1.price,,,T1.harga,
,FROM,,,FROM,
,schedule,,,jadwal,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,film,,,film,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.film_id,,,T1.id_film,
,=,,,=,
,T2.film_id,,,T2.id_film,
,JOIN,,,JOIN,
,cinema,,,bioskop,
,AS,,,AS,
,T3,,,T3,
,ON,,,ON,
,T1.cinema_id,,,T1.id_cinema,
,=,,,=,
,T3.cinema_id,,,T3.id_cinema,
cinema,SELECT,What are the title and director of the films without any schedule?,bioskop,SELECT,Apa judul dan sutradara film tanpa jadwal apapun?
,title,,,title,
,",",,,",",
,directed_by,,,diarahkan_oleh,
,FROM,,,FROM,
,film,,,film,
,WHERE,,,WHERE,
,film_id,,,id_film,
,NOT,,,NOT,
,IN,,,IN,
,(,,,(,
,SELECT,,,SELECT,
,film_id,,,id_film,
,FROM,,,FROM,
,schedule,,,jadwal,
,),,,),
cinema,SELECT,Show director with the largest number of show times in total.,bioskop,SELECT,Tampilkan sutradara dengan jumlah waktu pertunjukan terbanyak secara total.
,T2.directed_by,,,T2.directed_by,
,FROM,,,FROM,
,schedule,,,jadwal,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,film,,,film,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.film_id,,,T1.id_film,
,=,,,=,
,T2.film_id,,,T2.id_film,
,GROUP,,,GROUP,
,BY,,,BY,
,T2.directed_by,,,T2.directed_by,
,ORDER,,,ORDER,
,BY,,,BY,
,sum,,,sum,
,(,,,(,
,T1.show_times_per_day,,,T1.waktu_tampilan_per_hari,
,),,,),
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
cinema,SELECT,Find the locations that have more than one movie theater with capacity above 300.,bioskop,SELECT,Temukan lokasi yang memiliki lebih dari satu bioskop dengan kapasitas di atas 300.
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
,WHERE,,,WHERE,
,capacity,,,kapasitas,
,>,,,>,
,300,,,300,
,GROUP,,,GROUP,
,BY,,,BY,
,LOCATION,,,LOCATION,
,HAVING,,,HAVING,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,>,,,>,
,1,,,1,
cinema,SELECT,In which locations are there more than one movie theater with capacity above 300?,bioskop,SELECT,Di lokasi manakah terdapat lebih dari satu bioskop dengan kapasitas di atas 300?
,LOCATION,,,LOCATION,
,FROM,,,FROM,
,cinema,,,bioskop,
,WHERE,,,WHERE,
,capacity,,,kapasitas,
,>,,,>,
,300,,,300,
,GROUP,,,GROUP,
,BY,,,BY,
,LOCATION,,,LOCATION,
,HAVING,,,HAVING,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,>,,,>,
,1,,,1,
cinema,SELECT,How many films have the word 'Dummy' in their titles?,bioskop,SELECT,Berapa banyak film yang memiliki kata 'Dummy' di judulnya?
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,film,,,film,
,WHERE,,,WHERE,
,title,,,title,
,LIKE,,,LIKE,
,``,,,``,
,%,,,%,
,Dummy,,,Contoh,
,%,,,%,
,',,,',
cinema,SELECT,Count the number of films whose title contains the word 'Dummy'.,bioskop,SELECT,Hitunglah jumlah film yang judulnya mengandung kata 'Dummy'.
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,film,,,film,
,WHERE,,,WHERE,
,title,,,title,
,LIKE,,,LIKE,
,``,,,``,
,%,,,%,
,Dummy,,,Contoh,
,%,,,%,
,',,,',
products_for_hire,SELECT,Are the customers holding coupons with amount 500 bad or good?,produk_untuk_disewa,SELECT,Apakah pelanggan yang memegang kupon dengan jumlah 500 itu buruk atau bagus?
